Ilse Weber,		2000-07-05 17:00:00	2000-07-06 18:00:00
kisebbségkutató,		2013-09-10 19:00:00	2013-09-12 18:00:00
Péczely Dóra,		2013-05-07 16:30:00	2013-05-09 19:00:00
a megnyitó után Flo Kasearuval Hegyi Dóra beszélget		2015-03-24 17:00:00	2015-03-25 18:00:00
NL m.v.,		2019-01-12 15:00:00	2019-01-10 18:00:00
Johanna Winklhofer,		2018-09-17 18:00:00	2018-09-21 16:30:00
Vágvölgyi B. András író filmrendező		2018-03-20 18:00:00	2018-03-20 17:30:00
Maurizio Cannavacciuolo,		2002-03-13 21:00:00	2002-03-16 16:00:00
a MOME adjunktusa,		2016-11-17 18:00:00	2016-11-19 17:00:00
Rónai Balázs Zoltán költő		2009-03-10 18:00:00	2009-03-12 19:00:00
WESSELY Anna,		2019-10-03 18:00:00	2019-10-03 18:00:00
Kiállítóhelyek		2018-09-12 18:00:00	2018-09-10 18:00:00
Kurucz Petra,		2013-05-07 16:30:00	2013-05-09 19:00:00
Hoch Bea művészetkritikus		2008-01-15 18:30:00	2008-01-17 18:00:00
Lőrinczi Gergely,		2018-02-06 19:00:00	2018-08-17 19:30:00	2018-08-17 19:00:00
Kolozsvári Mariann,		2012-09-29 18:00:00	2012-09-29 16:00:00
Urai Dorottya		2014-07-11 15:00:00
Szabó Ádám szobrászművész,		2012-10-31 18:00:00
Molnár Zoltán		2019-03-21 17:00:00	2019-03-21 17:00:00	2019-03-23 18:00:00	2019-03-23 16:30:00	2019-04-07 10:00:00	2019-04-06 17:00:00
Schmidt Gabi,		2017-10-19 19:00:00	2017-10-16 17:00:00
Tomas Piars		2014-04-13 15:00:00	2014-04-11 19:00:00
Kiss László (H),		2010-05-19 19:00:00	2010-05-21 19:00:00
SZIKORA TAMÁS,		2012-04-13 14:00:00	2012-04-12 17:00:00
Cságoly Ferenc DLA építész,		2013-04-09 18:00:00	2013-04-12 18:00:00
Dabóczi Mihály szobrászművész (1905-1980) emlékkiállítása,		2005-01-20 19:00:00
Csernok Gyula,		2015-03-20 18:00:00	2015-03-19 18:00:00	2010-12-13 18:00:00	2010-12-16 18:00:00
Mikko Kuorinki,		2015-05-17 10:00:00	2015-05-12 18:00:00
BIOSZFÉRA REZERVÁTUM csoportos kiállítás,		2016-07-18 18:00:00	2016-07-21 19:00:00
RÉVÉSZ Ákos,		2019-09-05 19:00:00	2019-09-06 18:00:00	2019-12-04 18:00:00	2019-12-06 18:00:00	2019-04-27 10:00:00	2019-04-26 18:00:00	2018-11-29 18:00:00	2018-11-30 19:00:00
Daniel Parnitzke,		2018-05-29 18:00:00	2018-05-29 18:00:00	2018-05-29 18:00:00	2018-05-31 19:00:00
Zammis Schein (Mesterházy Sándor)		2017-06-20 16:30:00	2017-06-21 18:00:00
Sanna Harkonen,		2008-01-09 17:00:00	2008-01-10 14:00:00
Sandrine Enjalbert,		2006-01-10 19:00:00
Kaszás Gábor,		2000-04-25 18:00:00	2000-04-28 19:00:00	2000-11-08 18:00:00	2000-11-08 18:00:00	2000-11-08 19:00:00
Bruno Baptistelli,		2018-02-14 18:00:00	2018-02-14 19:00:00	2016-01-27 18:00:00	2016-01-27 18:00:00	2016-01-30 18:00:00	2016-01-30 18:00:00
Baigal Dölgön,		2019-04-10 18:00:00	2019-04-11 17:30:00	2018-04-04 18:00:00	2018-04-06 18:00:00
Dr. Gálig Zoltán művészettörténész  a Szombathelyi Képtár igazgatója,		2011-02-22 18:00:00	2011-02-24 17:00:00
Bö­ször­mé­nyi Ist­ván,		2016-11-03 18:00:00	2016-11-04 17:00:00
Máté Balázs,		2018-02-28 19:00:00	2018-03-02 17:00:00	2018-02-14 18:00:00	2018-02-12 18:00:00	2017-10-10 18:00:00	2017-10-10 18:00:00	2017-10-13 19:00:00	2017-10-13 18:00:00	2012-10-31 18:00:00	2013-02-16 17:00:00	2013-02-14 19:00:00	2017-04-26 19:00:00	2015-08-24 18:30:00
Beata jablonska		2016-02-17 18:00:00	2016-02-19 19:00:00
Biljarszki Emil		2015-06-03 18:00:00	2015-06-05 17:00:00
nincs művész		2016-09-21 18:00:00	2016-09-24 16:00:00
Jurecskó László,		2012-09-04 20:00:00	2012-09-05 18:00:00	2016-02-03 18:00:00	2016-02-02 18:00:00	2015-11-14 10:00:00	2015-11-12 17:00:00	2011-11-09 19:00:00	2011-11-10 18:00:00	2014-09-18 18:00:00	2011-06-02 18:00:00	2011-06-02 18:00:00	2010-10-28 18:00:00	2010-10-28 19:00:00	2011-03-12 18:00:00	2011-03-08 16:00:00	2011-09-24 10:00:00	2019-03-07 18:00:00	2019-03-07 18:00:00	2012-02-11 16:00:00	2012-02-08 18:00:00	2011-07-01 18:00:00	2014-10-26 16:00:00	2014-10-21 18:00:00	2012-04-13 14:00:00	2012-04-12 17:00:00
Kemény István költő		2012-04-21 19:00:00	2012-04-19 19:00:00
Fejér Andor,		2014-12-17 18:00:00
A. Petényi Zsuzsanna,		2013-11-20 19:00:00	2013-11-19 18:00:00
Háber Szilvia,		2003-10-28 18:00:00	2003-10-29 12:00:00
Solti András,		2013-01-27 16:00:00	2013-01-23 18:00:00
HERENDI Péter,		2019-01-12 15:00:00	2019-01-10 18:00:00	2017-10-03 19:00:00	2017-10-07 18:00:00	2019-09-14 18:00:00	2019-09-11 18:00:00	2014-07-24 18:00:00
Győrffy Éva,		2017-09-05 17:00:00	2017-09-07 18:00:00
Krenner István,		2008-03-20 18:00:00	2008-03-19 19:00:00
Marek Grygiel,		2014-09-18 18:00:00	2004-09-06 18:00:00	2004-09-08 19:00:00
Bán András  Miskolci Galéria Városi Művészeti Múzeum,		2011-03-12 18:00:00	2011-03-11 17:00:00
Kelemen Róbert,		2010-09-08 18:00:00	2010-09-09 16:00:00	2010-06-22 18:15:00	2010-06-24 18:00:00
