	8
Mikko Rantanen-Paivi Viinikainen,	2
Magyar Festők Társasága,	6
Dobribán Fatime,	16
Dawid Czycz,	3
Ilse Haider,	3
Selmeczi Bea	4
Paolo Falcone,	2
MKE Művészeti Anatómia,	2
Pályázók,	2
Dr. Hegyi Lóránd,	2
István MAGÉN Éva MAYER Bernadett NAGY / NADE Gábor NÉMETH-KASSA György OLAJOS László ORSZÁG Márta PACZONA László PAPP PALA Tibor PATAKI Csaba PÁL András PETŐCZ Ágnes PÉTER Béla REPÁSZKI Ferenc REPÁSZKI Dénes RUZSA - Fruzsina SPITZER,	1
Theo Ligthart,	5
Dr. Keserű Katalin,	2
Vetlényi Zsolt - Hapák Péter	2
BARAKONYI Zsombor,	3
Rui Hu,	4
Sárközi Marianna,	2
Gerő András történész	2
Alina KUNITSYNA,	2
Oláh Orsolya	2
Slavs and Tatars	4
performansz: Böröcz András,	2
Hoppál Péter,	2
Lakatos István,	4
FENYVESI Áron  művészettörténész	2
Dettre Gábor filmrendező,	3
Budapest	2
Csépai Eszter és Kalmár Bence performansza,	1
Pallag Bálint,	10
Szávoszt Katalin keramikusművész,	2
Kováts Jázon	1
Lapos László	2
Szekfü András filmtörténész  médiakutató,	2
Veres Gábor szobrászművész,	2
Konok Tamás festőművész	4
Marki Márta,	1
a Kecskeméti Katona József Színház igazgatója	1
Susanne M. Winterling,	4
finn-svéd-lengyel-magyar képzőművészek,	1
afrikai tinga tinga fstészet,	2
Kurucz Petra,	2
Íjgyártó István,	2
Weszely Ernő harmonika művész	2
Pauló Tamás,	2
Koch Judit	2
Nadya Hadun,	24
Rátonyi Dávid,	2
Dr. Szeifert Judit	5
Székelyi Kati	2
BÁNHEGYESY Antal,	2
Elek Is	2
Arnold Estfán,	2
Nagy László,	2
Lassla Esquivel Durand,	1
Szentes Ottokár,	2
Weiler Péter	3
Eerie T,	4
Katarina Zdjelar (SRB / NL),	2
RETTEGHY Ádám,	2
Szabó György,	25
Juhász,	2
REGŐS Benedek,	11
Charles Fréger	2
Natalija Ribovic,	2
Kovács Balázs	1
Timár Sára Erzsébet	2
H.E. Mangasi Sihombing,	2
Bravikné Páger Bernadett,	1
Dallos Jenő,	2
Rainer Mahlamäki,	2
Dudás Dezső,	2
Thomas Heise	2
SZIPŐCS KRISZTINA,	2
Frankfurt Beatrix,	2
Kocsis Judit,	4
Florence Meunier,	1
Andy Warhol (USA),	2
Dunai Edit,	7
Kolozsvári Mariann,	2
BORTNYIK Sándor,	2
KoMa Társulat,	2
Szamek András,	2
Molnár Gyula	3
Fülöp József kurátor,	2
Horváth Zita,	2
Rigler András,	2
Fehér Gyula hegedű	2
David Wilkinson,	8
Barbara Hindahl,	4
Nathalie Djurberg,	2
Dárdai Zsuzsa,	13
Váncsa István,	2
CSIKY Tibor,	4
Ordasi Zsuzsa,	2
Poór Dorottya,	6
Ondřej Kopřiva and Tomáš Kajánek: Litany of   precariat,	2
Eniko GABOR,	2
James Carcass,	2
Soosur Georgius,	7
Vinkler Zsuzsa - Berényi Mariann,	2
Várnagy Tibor,	51
Beöthy.,	1
Aristide Tarnagda,	2
Szőke Gáspár	2
Benes Beatrix,	2
Jan Saudek,	2
Zupkó Gábor,	2
Sárkány Sándor,	2
BaJóTa,	4
Arató Balázs	3
Anetta Mona Chişa & Lucia Tkáčová,	10
Munka-kör,	4
Filó Veronika,	2
Pacsika Márton,	17
Kiczinger Gábor,	2
Juhász Balázs,	18
Menyhárt Tamás,	10
Benedek Kata	2
Széplaky Gerda esztéta Audio-Loop: Üveges Péter	2
Ania Niemierko,	1
kulturális attasé,	4
A Finn Építészeti Múzeum /Helsinki/ kiállítása,	2
Balázsi Géza,	2
Vári György,	2
Szigethy Anna,	20
Kerekes Gábor,	115
Meghívó - "documenta 12",	1
Kerekes Gábor)	1
Bereznay Péter,	2
Tóth Balázs Máté,	18
Heszky András,	4
Haruko Asozan,	1
dr. Kodé Kornél,	1
Búbos Dávid,	1
Dr. Barbara Lee-Störck,	1
Szolnoki József	12
Mexikó nagykövete,	1
Andreas WERNER	3
közel 160 mű,	2
Fülep Ildi,	1
Radványi György Ybl-díjas építész	2
dr KUKLA Krisztián	2
Utsu Yumiko,	2
Pier pennings,	2
Trevor Amery,	4
Bukta Imre képzőművész,	2
Du¹an Zahoranský,	2
Fa Marianna,	3
Secco & Fresh K.O.,	2
Kristen Ronnevik,	1
BÜKI Zsuzsanna,	7
Makkay István,	2
Lakner Antal,	36
Turczi István	1
Valóczki-Bánfi Éva	2
Lesi Zoltán,	4
A. Tóth József,	4
Kopin Katalin  művészettörténész	2
Oliver Arthur,	2
MET,	6
DAGRÚN MATTHIASDÓTTIR,	2
GYARMATHY Tihamér,	3
Anu Riestola (FI),	2
Csuja László,	1
Colin Foster	2
az Észt Köztársaság magyarországi nagykövete,	4
Radnóti Tamás,	6
Rácz Márta,	17
Viktoria UHALOVA,	2
Keszég László,	1
Nada Prlja,	1
Katona Anikó	4
zene: Ujj Zsuzsi	2
Yugen Long,	2
Bartis Elemér,	6
és szerb művészek,	2
ANCA BODEA,	2
Süvecz Emese kurátor  tranzit.hu	2
Fehérvári Zoltán,	5
Dániel András,	13
Helen Marten,	2
Mándy Ildikó Társulata	2
Bartha Sándor - El-Hassan Róza - Havas Bálint - Hints - Hock Bea - Kovács Budha Tamás - Komoróczky Tamás - Koronczi Endre - Nemes Csaba - Pacsika Rudolf - Paksi Endre Lehel,	2
Walter Queins,	4
Micha³ Brezinski és Magyarósi Éva	2
Arkadiusz Szwed,	2
publicista	2
Szántó Dániel,	2
Małgorzata Gurowska,	1
Rohonczi István,	2
Nagy Csilla	12
Nagy Katalin Matild grafikusművész,	2
Koplik Judit	2
Kisgyörgy Ilka,	1
David Reumüller,	2
Pálinkás Bence György,	35
CZENE MÁRTA,	1
Szabó T. Anna	2
Kauker Dóra,	6
Modok Mária,	2
Klaniczay Gábor történész,	2
Kornis Mihály	2
Kisspál Szabolcs (HU),	2
a Magyar Művészeti Akadémia tiszteletbeli elnöke	2
Hallgatók,	1
Tamási Péter,	1
Andrzej Paruzel (PL),	2
Cipó Galéria,	8
Podmaniczky Szilárd,	2
Fejér Andor,	1
Válogatás a Magyar Képzőművészeti Egyetem diplomázó hallgatóinak munkáiból,	2
Merlene Dumas,	2
Pintér Juli,	2
Juhász Éva,	4
Serfőző Péter,	2
Matthias Hoch,	5
műemlékvédelmi szakmérnök és Dr. Máté Zsolt,	1
Rajz- és Geometria Tanszékének szimpóziuma,	2
Széll Tamás,	2
az MKE Doktori Iskolájának vezetője	2
Jiří Skála,	2
AGNESKOVACS,	2
Dj KristofLab	1
Dánia magyarországi nagykövete	2
Pe,	2
Mozdulat-Panoptikum	2
Kincses Károly,	24
Hermann Péter,	4
Andrus Kõresaar,	2
Szalay Zoltán,	10
Szigeti Szilvia textildesigner,	2
Radanovits Lilla,	2
Ovidiu Tichindeleanu (filozófus,	2
Pardi Géza,	2
Közélet Iskolája,	2
RIZMAYER PÉTER,	1
Yimou Zhang,	2
Kéz | Mű | Remek	2
Sárosi Anita /  Szörényi Beatrix	2
Schéner Mihály festőművész kiállítása	2
Boros Judittal,	1
Téglás Anna,	2
E	11
GULYÁS GYULA	4
Keserue Zsolt - Polyák Levente,	2
Soňa Salnerová,	2
Ewa Solarz	1
Radenko Milak & Roman Uranjek,	1
Philippe VACHER (F),	4
Jerzy Skolimowski: A kiáltás	1
Karas Dávid (az FKSE elnöke),	2
Two¿ywo,	2
Sadovska (SK),	2
Nagy József (Josef Nadj)	2
Bisztrai Márton	1
Aba-Novák Vilmos,	2
Böltskey Miklós,	2
Szilvi Német,	2
Joe Cancilla,	1
Markus Bacher,	1
Fresch Renáta,	2
Bartók Margit,	2
Dan Perjovschi,	6
Hanne Tornoe	1
Olav Westphalen,	2
Koronka Lajos,	2
Alma Jantunen,	1
Käthe Wenzel (GER),	2
címzetes egyetemi tanár	3
Mc Ribbentrop Tűzoltózenekar	2
Carl Theodor Dreyer: Szent Johanna - Jeanne D	1
SZŐNYI ANDRÁS | SZREMKÓ BETTINA | SZTOJÁNOVITS ANDREA | VARGA MÁTÉ | VECSEI GÁBOR | VÉCSEI JÚLIA | VECSEY BALÁZS | VÉCSEY VIRÁG | RAPHAEL VÖGELI | WALICZKY TAMÁS | ZICS BRIGITTA | ZSIGÓ MIKLÓS,	1
Géger Melinda	2
Karátson Gábor-festőművész iró,	2
Juhász Tekla Beáta,	2
Menyhárt Norbert,	16
Dudás Barbara	5
Fodor Enikő,	4
Simone Elsing,	1
KONKOLY Gyula	2
György Erika,	3
Csontó Lajos (HU),	2
LORÁNT Anikó	3
Schmidt Cecília,	2
ALTORJAI SÁNDOR,	1
Bági Attila,	2
Bevezeti: Pia JARDÍ a kiállítás kurátora,	1
Közreműködik: Mátrai Péter,	2
SEIZE International	2
Carlsson,	2
Romvári Márton,	32
Margaret Kilgallen,	1
Gerhard FRÖMEL,	4
Delaine LeBas,	2
BATYKÓ Róbert,	1
Stephan Köperl és Sylvia Winkler,	2
Gerevich András költő	1
Nánay István,	1
Borja Rodriguez Alonso,	2
Don Tamás Milán,	2
dj Tibiota (Koraiés#8217;s Banditos),	2
KIRÁLY András	2
Szenteleki Gábor	6
Simon Sándor,	4
József R. Juhász,	2
Sinkó István	15
Soerii és Poolek,	2
NAGY Bernadett,	1
Varga G. András	2
VAJDA Lajos,	2
Ema Kugler,	2
Nagy Judit - fuvola	2
BASA Anikó,	3
Szalay Miklós,	1
Marton Katalin,	2
Jörg,	4
Kós Eszter,	2
Bak Imre,	103
M,	1
Nagy Ervin,	7
Lábass Endre	9
Lakatos Erika,	8
Győri Vimos győztes,	2
prof. Kőnig Frigyes DLA habil rektor	2
Dobosi László,	2
ÚJPART Dunaújvárosi Képző- és Iparművészek Egyesülete,	2
Torange Khonsari (UK),	1
Cãlin Dan,	2
Díj tervezője: Société Réaliste,	2
Sanja Ivekoviæ,	4
Lóránd Zsófia,	2
osztrák,	1
Stefanos TSIVOPOULOS,	2
Horváth Katalin,	4
Don Tamás,	21
Kaján Tibor,	2
közreműködik: Csetverikov Iván – gitár	2
Fehér Dániel festményei,	2
Kerékgyártó Szilvia,	4
DÁRDAI Zsuzsa,	2
KENÉZ Réka,	2
