	step0	frequency_original
23446	Esteban de la Torre,	4
23447	Czajlik József	2
23448	Vankó István,	4
23449	Torgyik,	3
23450	Juhász Ferenc	1
23451	Csiszár Róbert művészeti író,	2
23452	Erotika és szexualitás,	2
23453	A FUGA akutális kiállításai	2
23454	Simon Zsuzsanna,	13
23455	pr csoport,	10
23456	Cosmin Nasui	2
23457	Alexandra Pellissier,	2
23458	+Janáky István,	2
23459	Danilo Eccher,	1
23460	Szántó T. Gábor író,	2
23461	Szurcsik József képzőművész	2
23462	Berti Sara,	1
23463	a Külgazdasági és Külügyminisztérium helyettes államtitkára,	1
23464	Eva Kotatkova,	2
23465	és sokan mások,	3
23466	Gera Mihály,	12
23467	Mikóczy Anita	2
23468	Vang Csien-vej (Wang Jianwei),	2
23469	Stefan Jasieński,	2
23470	Földi Ádám,	2
23471	GEIBL Kata,	8
23472	Katarzyna Sitko,	4
23473	Megynyitja: Csákányi Eszter színművésznő  beszéddel és énekkel	2
23474	Szuhay Péter (antropológus,	2
23475	a Summa Artium Kht. igazgatója	2
23476	EPSA fotóművész,	1
23477	Rév István történész,	2
23478	Stima Klára,	2
23479	Kandó Gyula,	4
23480	Zsakó István,	4
23481	Igazgatóság Elnöke	2
23482	Berencsi Attila,	2
23483	BIRÓ Ildikó,	1
23484	Koch Judit művészettörténész	2
23485	Erőss István festőművész,	2
23486	+ 44 pályázó,	1
23487	Patrycja Rup	6
23488	Varga Virág	4
23489	a Székesfehérvári Művészek Társasága és meghívott alkotótársaik,	2
23490	Matko Meštrović,	2
23491	Sólyom Alex,	2
23492	Breznai András,	4
23493	Markos Viktor,	2
23494	Viktória Marion,	2
23495	Rohánszky Bence,	3
23496	Szvilena Koleva,	2
23497	Károly Sándor Áron,	2
23498	Berlin,	1
23499	Somogyi Endre,	2
23500	Michael Höpfner képzőművész,	2
23501	Murányi Mózes Márton (Salzburg),	2
23502	et al,	2
23503	az MKE Kortárs művészetelmélet és kurátori ismeretek MA végzős hallgatója,	2
23504	a Horvát Köztársaság magyarországi nagykövete	2
23505	TUDÓSOK zenekar	3
23506	Hollander Judit tolmács,	2
23507	Beke László művészettörténész,	6
23508	Lenkey Zoltán,	4
23509	Közreműködik: Mihajlo Vihula gitár  Kékes Zsuzsa vibrafon	2
23510	Fehér László	1
23511	Oleg MASZLOV,	2
23512	BODONI Zsolt,	1
23513	Móró Máté,	2
23514	Lise Nellemann,	2
23515	RADU COMŞA,	2
23516	"Menyhárt ""Menyus"" Tamás,"	6
23517	Jaromír Plí¹ek cseh nagykövet,	2
23518	St. Auby Tamás,	8
23519	LEITNER Levente,	2
23520	Viktor KUZNYECOV,	2
23521	Komlódi Judit,	2
23522	HOEK,	3
23523	Korodi János	3
23524	Süveges Rita Erzsébet,	2
23525	VÁRKONYI György	2
23526	Dalai Dávid formáció,	2
23527	Kostas Saphazis,	2
23528	Bodolay Géza,	1
23529	Alpern Bernadett,	29
23530	Orosz Csaba  képzőművész  művészetpedagógus	2
23531	AWACS (Piotr Grzybowski,	1
23532	Trafik Kör	2
23533	Szűcs Réka DLA,	1
23534	design- és művészetteoretikus	2
23535	Magyarosi Éva,	1
23536	Larissa Leverenz,	6
23537	Veli Granö (FI),	3
23538	Farkas Júlia,	6
23539	Losonczi Áron,	1
23540	Újházi Péter,	4
23541	Fanni Futterknecht,	2
23542	Katona Júlia művészettörténész,	3
23543	Balogh Krisztián,	9
23544	Harsányi Réka	2
23545	Tóth Krsiztina,	3
23546	Bényi Andrea,	6
23547	Sztanyiszlav MAKAROV,	2
23548	Dr. Szekeres Tamás,	2
23549	Betuker István,	2
23550	Dragomán György	11
23551	Sergiu Toma,	2
23552	Újszászi Tünde,	2
23553	Lukas Jasansky,	2
23554	Klaus Neuman-Braun,	2
23555	a MANK Nonprofit Kft. ügyvezetője,	2
23556	Böröcz András	3
23557	kultúrakutató	2
23558	a III. crosstalk video art festivalon való részvételre	2
23559	TREMBECZKI Péter,	2
23560	Alex Braun,	2
23561	Alexandre Devals,	2
23562	Buthi Patrik,	2
23563	Weber Imre,	2
23564	Gábor-Nagy Nóra,	2
23565	RANDOMROUTINES,	4
23566	CSOSZÓ Gabriella,	8
23567	Bálványos Anna	28
23568	FoToNoIrE	2
23569	Sylwia Serafinowicz,	1
23570	Győrffy lászló,	2
23571	Keresztes Róbert,	2
23572	Wouter Nieuwendijk,	1
23573	Kákóczki András Miskolc MJV Kulturális Osztály vezetője	2
23574	Erdei István építész	2
23575	Kurdi Anita	2
23576	Nádor Katalin,	2
23577	a kiállítás fővédnöke,	2
23578	Válogatás a Levendel-gyűjteményből,	3
23579	Váczi Eszter Quartet	2
23580	Zsolnai Mihály,	2
23581	Viennafair	2
23582	Várhelyi László,	2
23583	Alvin Curran,	2
23584	Kanics Dorottya,	3
23585	Mindaugas Lukosaitis (LT),	2
23586	Philippe Szechter,	2
23587	a trencséni M. A. Bazovský Galéria igazgatója	2
23588	Jesper Nordahl,	2
23589	Erdélyi Gábor és Nagy Gábor György,	1
23590	Fabényi Júlia művészettörténész,	2
23591	válogatás a 70 év során restaurált műtárgyakból,	2
23592	Kozák Zsuzsa,	2
23593	Rosa Barba,	3
23594	Helényi Tibor,	3
23595	Szilágyi von Neuwirth Zoé,	2
23596	Ambassador of Republic of Finland	2
23597	Vesa Oja,	1
23598	Ivana Meštrov),	2
23599	Fitz Péter,	55
23600	Vera Molnar,	15
23601	DETVAY Jenő,	6
23602	Tob Vivien,	2
23603	Maria Hitzenberger,	2
23604	Parák Andrea	2
23605	Mész András,	2
23606	Winkler Barnabás,	2
23607	Buczkó György	2
23608	Vargha Márk Péter,	8
23609	SZOTYORY László,	1
23610	DEJAN SLUGA	2
23611	Előadó: Hábetler András operaénekes	1
23612	A Székesfehérvári Művészek Társaságának tagjai,	2
23613	Dan GRAHAM,	2
23614	Szűcs Péter,	4
23615	a Széchenyi Akadémia ügyvezető elnöke	2
23616	Subicz Gábor - szárnykürt	2
23617	Bencsik Barnabás  a Ludwig Múzeum igazgatója	2
23618	képanimátor szakirány,	2
23619	Kelle Antal,	10
23620	Csavlek András festőművész,	1
23621	Kósa Zoltán,	2
23622	Phil Barnes,	1
23623	Polyák Levente (KÉK),	4
23624	Prof. Kőnig Frigyes DLA  Habil a Magyar Képzőművészeti Egyetem rektora,	2
23625	Simon Ádám,	1
23626	Wessely Anna Ph.D előadása	1
23627	Mondy András festőművész,	1
23628	Rockenbauer Zoltán művészettörténész,	2
23629	Bagi Borbála,	2
23630	Erdész Galéria és Design,	2
23631	Dús László,	8
23632	Dér András rendező	2
23633	Kőnig Frigyes DLA habil,	1
23634	Geiger Róza,	2
23635	iSKI KOCSIS Tibor,	11
23636	Sipos Tünde,	2
23637	Judith Várnai Shorer Izrael Állam nagykövete	1
23638	Utazó csoportos kiállítás,	4
23639	F. Pollner Erika,	2
23640	Tom Nørring,	4
23641	Horváth Roland  Jakatics-Szabó Vera,	2
23642	Jacques Flechemuller,	2
23643	Kadri Helde,	2
23644	GOIR,	2
23645	Daniel Door és Flow Defoe,	2
23646	Rockenbauer Zoltán kulturális miniszter	1
23647	KONDOR Béla,	2
23648	Loud & Clear,	2
23649	Festő szak:  Boda Melinda  Czimbalmos Kozma Andrea,	2
23650	Lucien Hervé	2
23651	MAJOR VIRÁG,	2
23652	x,	2
23653	Hellenbach Gabriella,	2
23654	A kiállítás szervezői: Sass Valéria és Szabó Ádám,	2
23655	KOROKNAI Zsolt * KRNÁCS Ágota * LÁNG Eszter * LÉVAY Jenő * LICHTER Péter m.v. * LONOVICS László * LUX Antal D * MAGÉN István * MAYER Éva * NÉMETH-KASSA Gábor m.v. *,	2
23656	Glázer Attila,	8
23657	Máté Beáta	2
23658	Maja és Reuben Fowkes (Translocal Institute),	2
23659	Michael Corthell,	2
23660	Haraszty István,	36
23661	L. Menyhért László	1
23662	Csákány István	6
23663	megnyitón zenél: Horváth Ádám Márton	2
23664	Kákóczki András művészettörténész	13
23665	GERBER Pál,	10
23666	Erhardt Gábor,	2
23667	VACZULA Krisztina,	2
23668	Malgorzata Goliszewska,	2
23669	Miklós Peternák,	7
23670	Orosz Csaba	2
23671	Serge Bloch Rajzai és Frédéric Boyer szövege alapján megelevenednek az Ószövetség történetei	1
23672	Hamvai Kinga,	9
23673	Gábor Marianne,	2
23674	Tölgyesi Katalin (ARTalakulás Galéria),	2
23675	ÉK Egyesület,	1
23676	Cukor György	1
23677	Mariam Kandiashvili,	2
23678	Christoph Jenni,	2
23679	Secco & Fresh K.O.,	2
23680	Téglás Anna,	2
23681	Sárközi Marianna,	2
23682	Ő maga,	3
23683	Regős István	5
23684	Keserü Katalin művészettörténész	3
23685	Podmaniczky Szilárd  író	2
23686	Sinikka Hurskainen,	4
23687	Gellér B. István kiállításán	1
23688	Fodor Fanni,	2
23689	Benkő Borbála,	2
23690	Nagy Stoica Georgeta,	2
23691	Keserü Ilona,	32
23692	Tobias Bernstrup,	2
23693	Virágvölgyi István,	7
23694	Csiszér,	4
23695	Szőke Szabolcs triója	2
23696	efZámbó Happy Dead Band,	2
23697	Lena Hansson,	1
23698	feztőművés	1
23699	Fodor Pál,	6
23700	Sturcz János,	22
23701	Zajtai Szabolcs,	2
23702	Sipos Melinda / Németh Péter,	2
23703	Kiss Antónia Zsanett,	8
23704	Török Tamás	18
23705	Szegedy- Maszák  Zsuzsanna	2
23706	SZABÓ Ádám	2
23707	ART CAMP,	2
23708	Rineke Dijkstra,	6
23709	tárlatvezetés	3
23710	Calin Dan - beszélgetés a művésszel,	2
23711	Menasági Péter	7
23712	Anke Mellin,	2
23713	szlovák művészek,	6
23714	vendég: Varga Balázs,	1
23715	ARLÁTH Krisztina,	5
23716	Méhes Lóránt,	11
23717	bakó tamás,	2
23718	amerikai művészek,	1
23719	Ágnes von URAY,	2
23720	Fazekas Attila,	1
23721	Folytonosság a hagyományos belső-ázsiai nomád művészetben,	1
23722	Borbás Dávid (BKF),	2
23723	Magyar Fotóriporterek Társasága,	2
23724	Sugár,	4
23725	szociológus)	2
23726	Sárkány Mihály	2
23727	Metahaven - Daniel van der Velden (NL),	2
23728	Marián Pauer,	3
23729	Mayer Éva ▪ Kelecsényi Csilla,	2
23730	NÉMETH Dávid,	2
23731	Delaine LeBas,	2
23732	az MTI/MTVA fotóriportere,	2
23733	David Mayor,	2
23734	Gáll Attila  polgármeszter	4
23735	csoprotos kiállítás,	2
23736	Gulyás Márton  Krétakör	2
23737	Borosi Gábor,	2
23738	NAGY Gábor György m. v.,	2
23739	Zina Mihailovna,	1
23740	Dr. Veres András szombathelyi megyéspüspök	2
23741	TÓTH Anett,	2
23742	az Országos Széchényi Könyvtár főigazgatója	2
23743	Dékány Tibor,	2
23744	Bán András műkritikus	4
23745	a Vas Megyei Közgyűlés elnöke	2
23746	webdesign szakirány,	2
23747	AATOTH franyo,	2
23748	Vladimir Dubosarskii és Alexander Vinogradov,	2
23749	Marcell Esterházy,	2
23750	Kicsiny Balázs DLA képzőművész,	1
23751	Áfrány Gábor-Tóth Zs. Szabolcs,	2
23752	Wirth Imre író	2
23753	Rosalind Nashashibi,	2
23754	Kerekes Gábor és Markus Lerviks (FIN),	1
23755	L. Balogh Krisztina,	2
23756	Zombori Mónika,	9
23757	Robbert van der HORST,	3
23758	Oldrich Straka,	1
23759	Regina Verhagen	2
23760	Franziska Muckenthaler,	2
23761	VADÁSZ György,	2
23762	Szijj,	1
23763	Casabere James,	2
23764	Heike Baranowsky és Várnai Gyula,	2
23765	Szurdi András,	1
23766	Liné Moché (DE),	2
23767	Inda GAléria,	2
23768	Fenyvesi Orsi	2
23769	Születésnapi Party,	1
23770	Yvonne P. Doderer	2
23771	Szalai Borbála művészettörténész	1
23772	Szervezők: C3 Kulturális és Kommunikációs Központ,	2
23773	Kukla Krisztián esztéta  MODEM	2
23774	Sebők Zoltán esszéíró	2
23775	Bánkuti András  fotóriporter,	2
23776	GAUL PÉTER,	2
23777	Dévényi Sándor (DLA építész)	1
23778	Süli-Zakar Szabolcs	4
23779	Camila Sposati,	2
23780	Kaspars Goba (Riga)  Wojciech Doroszuk (Krakkó/Rouen),	2
23781	Nona Inescu	2
23782	Szőke Annamária (ELTE Művészettörténeti Intézet)	1
23783	NAGY Zsófia,	2
23784	Szabó T. Anna	2
23785	Ybl díjas építészmérnök	2
23786	Veres Bálint esztéta (MOME)	2
23787	Kristina Norman {EE},	2
23788	Bob BONIES,	4
23789	Branka Stipancic	1
23790	LETHENYEI László,	2
23791	Kulinyi Istvan	2
23792	NAGY IBI,	2
23793	Fehér Gyula hegedű	2
23794	Reich Gyula,	2
23795	Bán Zsófia,	10
23796	Varga Levente,	2
23797	World Photography Awards 2012,	2
23798	Polgár Rózsa,	3
23799	Kósza Sipos László,	2
23800	Király Tamás	2
23801	C3,	1
23802	Kecskés Péter	58
23803	Peternák Miklós - Angel Judit,	2
23804	Berei Zoltán,	1
23805	Török Virág,	2
23806	Uhrín Tibor	2
23807	dr. Ferkai András,	2
23808	Gaál József  képzőművész	2
23809	Brenner György,	2
23810	Máthé Andrea,	6
23811	Bartosz Kokosiński,	2
23812	Mohay Orsolya művészettörténész	2
23813	Kőnig Frigyes és Roskó Gábor festőművészek	2
23814	Pintér Gábor	5
23815	Lájer Vera	4
23816	Miller#MALKOVICH	6
23817	Várnai György,	2
23818	Schadl János,	1
23819	Kocsis Judit,	4
23820	Benkő Ilona,	2
23821	Maurits Ferenc,	1
23822	Langh Róbert,	8
23823	Válogatás a 2013-as Tallinni Építészeti Biennálé nemzetközi pályázatának anyagából,	4
23824	Szépfalvi Ágnes	2
23825	Oravecz Tímea,	2
23826	L. Simon László író,	2
23827	Je Suis Belle,	2
23828	Benes József  Csiszér Zsuzsi,	1
23829	Musee National de Porcelain Adrien Dobouche (F),	2
23830	Nyakas Ilona,	38
23831	Szarka Tamás	2
23832	Kondor Edit keramikusművész,	1
23833	Borbála TOMPA,	1
23834	Gábor Judit,	1
23835	Tóth Krisztina költő,	4
23836	Vályi P,	2
23837	||  neokonceptualista művész,	1
23838	Papageorgiu Andrea,	17
23839	FARKAS Roland,	2
23840	Andor Anikó,	2
23841	Cécile Desvignes,	2
23842	GYŐRFFY László,	6
23843	UCCU Roma Informális Oktatási Alapítvány,	4
23844	Művésztanárok	2
23845	Halász Dániel,	18
23846	Zdenek Bouse,	2
23847	Fátyol Zoltán festőművész	2
23848	néprajzkutató,	2
23849	Getto Ferenc	2
23850	Borovi Dániel művészettörténész	2
23851	a volt Jász Kürt Fogadó Galériája,	2
23852	Gesler Zsuzsa (KEZS),	2
23853	Blaumann Edit	1
23854	Hegedűs Péter,	2
23855	Sebestyén Zoltán Mucius,	7
23856	DARVAS Angéla,	2
23857	(Montevideo/New York),	2
23858	Bogdán Lilla,	2
23859	Ázbej Krisóf,	2
23860	BERECZKI KATA,	3
23861	Zákányi Péter művészettörténész	1
23862	Robert Abkorovits,	2
23863	Zirczy Judit,	2
23864	Szabó ÍÁdám,	2
23865	Vidák zsolt,	2
23866	Kurt Schwitters,	2
23867	Personal perception	2
23868	Borbély Mihály	2
23869	Vidovits Iván,	2
23870	Környei Ágota,	2
23871	Ligetfalvi Gergely,	4
23872	Lágler Péter,	4
23873	Ágoston-Papp Mónika,	3
23874	Sztrakay Orsolya,	2
23875	Türk Péter,	29
23876	BAK IMRE,	5
23877	Raymond Taudin Chabot,	1
23878	Rohmann Ditta,	4
23879	Marno János,	4
23880	Zaránd Gyula,	5
23881	BP-ART,	2
23882	international group show,	2
23883	Jónás Vera	2
23884	Ritz Géza,	2
23885	Tóth Viktor és Bird Food Market,	2
23886	Kárpáti Tibor,	22
23887	Hejettes Szomlyazók	3
23888	Belegi Márta S.,	2
23889	Thomas Baumann,	2
23890	Janoch Lívia,	3
23891	Udvarhelyi Zsuzsanna	2
23892	Konkoly-Thege György,	4
23893	Zoltán Sándor,	5
23894	M Olasinska és M Przybylko,	2
23895	Diktátor,	2
23896	ÁMOS Imre,	4
23897	Molnár Ráhel Anna	3
23898	Becs),	2
23899	MFN alapítója,	2
23900	Fresch Renáta,	2
23901	Luis Buñuel,	2
23902	a Budapesti Építész Kamara elnöke	6
23903	Gigi Scaria (India),	6
23904	Cserhalmi Luca,	2
23905	Mira Milicev,	2
23906	Běla Kolářová,	1
23907	a Filmvilág kritikusa	4
23908	dr. Sirató Ildikó  irodalomtörténész,	2
23909	Bátai Sándor ▪ Szombathy Bálint,	2
23910	Pintér István Pál,	2
23911	Tolcsvay László zeneszerző	1
23912	Kernács Gabriella	3
23913	Kang Yerin + Lee Chihoon,	2
23914	Zsigmond Attila főigazgató	2
23915	Zsuffa Zsolt építész	2
23916	francia kulturális attasé	2
23917	a Népszabadság fotóriporterével	2
23918	FIONA RUKSCHCIO,	2
23919	dr. Novák Ágnes,	2
23920	Blahó Borbála,	31
23921	Nikita Kadan (UA),	2
23922	Jiwon Woo,	2
23923	A tanulmánykötetet bemutatja: Rozsnyai József építészettörténész,	1
23924	Kiss Adrián,	2
23925	Simon Márton költő	2
23926	Bartha Sándor - El-Hassan Róza - Havas Bálint - Hints - Hock Bea - Kovács Budha Tamás - Komoróczky Tamás - Koronczi Endre - Nemes Csaba - Pacsika Rudolf - Paksi Endre Lehel,	2
23927	Seregi Tamás esztéta	3
23928	Kiss Tanne István,	10
23929	"""Vágyvírus"" - Németh László keramikus és Király Levente költő estje és kiállítása;,"	1
23930	Dr Pogány Gábor művészettörténész,	1
23931	LEFÁNTI Zsófia Enikő,	2
23932	szociológus	6
23933	Sam Havadtoy,	10
23934	HAÁSZ Katalin,	7
23935	Sergio Munoz Sarmiento,	2
23936	drMÁRIÁS Béla,	3
23937	Nucleopontoq,	2
23938	BORI Bálint,	2
23939	Böhm Gergő,	2
23940	Spengler Katalin,	12
23941	Farkas Aladár,	2
23942	Sinko Istvan	2
23943	Kőrösi Sándor,	1
23944	Imre Loránd Balázs (Speak Easy Project),	2
23945	Robitz Anikó,	31
23946	Mándy Ildikó Társulata	2
23947	Theo Ligthart,	5
23948	Simon Ilona,	6
23949	Konkoly Ágnes az FKSE titkára,	2
23950	doc. Ing. arch. Radomíra Sedláková,	2
23951	Ámos Imre,	16
23952	Koroknai,	2
23953	Haász Kati,	8
23954	Gera Noémi,	2
23955	Sz.A.F. (Mécs Miklós és Fischer Judit),	4
23956	Szalay Bobrovniczky Alexandra	1
23957	Ábrahám Rafael,	1
23958	Gartner & Gartner és Kecskeméti Sándor kiállítása,	2
23959	Tíz év mìvészei,	2
23960	ENDRESZ ÁGNES,	1
23961	Somogyi Zsófi,	2
23962	a Lipcsei Grafikai és Könyvművészeti Főiskola tanárai	2
23963	Kalapos Éva Veronika,	2
23964	Wilhelm Siemen a Deutsches Porzellanmuseum igazgatója	2
23965	Kerényi Máté,	4
23966	Csurka Eszter	13
23967	Farkas Kinga,	2
23968	Ajdan SZALAHOVA,	2
23969	Bognár Antal író	1
23970	Erdei Viktor,	2
23971	PÉTERFY Gergely költő,	2
23972	Mátrai Péter építész-zeneszerző	1
23973	Dj Bootsie,	2
23974	Gábor,	4
23975	Vágó Réka cipőtervező exkluzív tárlatvezetése	2
23976	Szilágyi László,	4
23977	a Szlovén Köztársaság magyarországi nagykövete	2
23978	Chus Martínez,	2
23979	Rovar 17,	1
23980	KLIMÓ KÁROLY,	1
23981	Megnyitja: Wolfgang SCHNEIDER art mediator	1
23982	Balázs Zsolt,	2
23983	Kármán Dániel,	2
23984	Katherine McMahon,	2
23985	közepes képzőművész	1
23986	Maciek Blaźniak,	1
23987	Elek Judit Katalin,	19
23988	Rónai Péter	1
23989	Új Művészet	20
23990	Dragon Zoltán,	3
23991	Lőrincz Emőke	2
23992	Luo Zhixia,	2
23993	Ladány László (Lafu),	2
23994	Antonio Gonzales Paucar,	2
23995	Szabó Ábel	4
23996	Somhegyi Zoltán	6
23997	Orbán Attila,	9
23998	EZER Ákos,	1
23999	Tóth Zoltán,	7
24000	Virágvölgyi István	13
24001	Mihályi Barbara	2
24002	Müller Péter Sziámi: Ex-kódex	1
24003	Farkas-Kontra Máté,	2
24004	Novák Dóra,	2
24005	Susanne Bürner,	2
24006	Kaintz Regina,	3
24007	zenés megnyitó	4
24008	Káplár Ferenc,	2
24009	Francisco Villarroel,	2
24010	Varga Laura,	4
24011	Kő Pál,	4
24012	BIKÁCSI Daniela,	2
24013	Tasnádi,	1
24014	Dr. Szeifert Judit művészettörténész	3
24015	Pogány Gábor	1
24016	Magyarósi Éva	11
24017	Helyes Dani,	2
24018	dr. Baán László	2
24019	Sz. Varga István,	2
24020	Kőrösi Zoltán,	2
24021	Marsó Péter,	2
24022	TRAFIK KÖR	2
24023	Barabás Miklós Céh	1
24024	Jahoda Réka,	17
24025	Száraz Miklós György,	4
24026	Szűts Angéla,	1
24027	Tompa Ildikó,	4
24028	HECKER PÉTER,	1
24029	báró Mednyánszky László,	1
24030	Hajnal Németh (HU),	2
24031	Ilya Trofimenko,	2
24032	Risto Suomi,	2
24033	Adriaan Gonnissen,	2
24034	Zammis Schein (Mesterházy Sándor),	4
24035	vetítések,	3
24036	Szakács Eszter,	7
24037	BIOSZFÉRA REZERVÁTUM csoportos kiállítás,	2
24038	Halt+Boring,	1
24039	Paul Sakoilsky performansza	2
24040	Evan Roth (US),	6
24041	Barakkosok meg még sokan mások,	2
24042	Birkás Babett,	4
24043	Everton Wright,	2
24044	Tolvaly Ernő,	31
24045	a Magyar Képzőművészeti Egyetem előkészítősei,	2
24046	Tillmann Roth,	1
24047	Hock Ernő,	2
24048	VARGA Tünde	1
24049	Turcsányi Antal: Torzók és maszkok,	1
24050	Kätte Steinitz,	2
24051	Dieter JUNG,	2
24052	Gabrijel Stupica,	2
24053	Horváth Erzsébet,	7
24054	Dánia magyarországi nagykövete és a Spanyol Nagykövetség diplomatája	2
24055	AATOTH • BODÓCZKY • BÖRÖCZ • BUKTA • CZIGÁNY • FEHÉR • FELUGOSSY • GILOT • GYŐRFFY • HERBST • HERMAN • HOLLÓS • JOVANOVICS • KAZOVSZKIJ • KESERÜ • KORNISS • MISETICS • MULASICS • NÁDLER • RÁCMOLNÁR • ROZSDA • SZIRTES • SZOTYORY • UJHÁZI • VÁRADY,	2
24056	Vészi Tamás,	2
24057	Magyar Mozdulatművészeti Társulat	1
24058	Domonkos Attila	2
24059	Janicsek Alexandra	2
24060	Erdős Zsuzsanna,	2
24061	Hock Bea	2
24062	a szerző	2
24063	VÉKONY Dorottya,	4
24064	SZABÓ Kristóf – KRISTOFLAB,	1
24065	Habis László,	2
24066	Lévai Viktor,	2
24067	Áfrány Gábor / Tóth-Zs. Szabolcs,	2
24068	Papp Gáspi (HAHA),	2
24069	MURÁNYI Kristóf,	4
24070	Oana Rapeanu,	2
24071	Az ezredforduló fiatal generációja,	1
24072	Mátrai Erik,	58
24073	Hangyál Judit,	2
24074	Boldizsár Zsuzsa,	2
24075	DRAGOMÁN György,	2
24076	Biacsics Renáta,	2
24077	Cseke Szilárd-Molnár Annamária,	2
24078	SZTRANYÁK Zsófia,	2
24079	Monori Sebestyén,	4
24080	Simó Kata,	2
24081	Dr. András Edit	2
24082	Szabó Veronika,	2
24083	Uri Asaf	7
24084	Andreas Berde,	3
24085	Weber Kristóf  és Fülöp Zsuzsanna koncertje	2
24086	Matthew S. Witkovsky	2
24087	Joseph Kadar,	3
24088	Sipos Eszter	2
24089	Peter Bogner	4
24090	Filmvetítés és beszélgetés	2
24091	Miroslav Zselinsky,	6
24092	Francis Alÿs,	6
24093	Kovács Johanna,	3
24094	Zsákovics Ferenc	4
24095	Tundó Klára,	4
24096	Verebélyi Diána,	4
24097	Géger Melinda	2
24098	Margitházi Beja	3
24099	Nguyen Lan Lilla,	4
24100	Vidák Zsolt	2
24101	Tatai Erzsébet	59
24102	Lucian Bernhard,	1
24103	Krassimir Terziev,	2
24104	Sinkó István,	14
24105	VÁRFI ISTVÁN PITYKE,	2
24106	Góth Martin,	5
24107	Agnes von Uray: Shining – a létezés öröme a vásznon,	1
24108	a Német Nagykövetség kulturális referense,	2
24109	UTA HEINECKE,	2
24110	Bruno Baptistelli,	6
24111	Várszegi Tibor -  egyszemélyes színház,	2
24112	Lucie Orbók – Cseh Centrum,	2
24113	dr. Kovács Vilmos ezredes,	2
24114	Sebastian Bieniek	2
24115	Jókay Zoltán,	1
24116	Erdőszőlő,	2
24117	Illés Barna,	27
24118	Bartha Jozsef,	2
24119	Kemény István	2
24120	Végvári Gergely,	9
24121	Sebestény Ferenc,	2
24122	id. Lelkes István,	4
24123	Varga Zsuzsanna művészettörténész	1
24124	Antal Nikolett	1
24125	a Pszichoszínház vezetője	2
24126	Landvai Ádam,	2
24127	Gabriele Sipöcz,	2
24128	Leonardo HAID,	1
24129	Dr. Gegesy Ferenc  Ferencváros polgármestere,	2
24130	KuglerArt Szalon,	2
24131	Sandra Araújo,	2
24132	Juergen Sarge,	2
24133	Yin Peet	2
24134	Pálfi György László	1
24135	Simonyi Emő.,	2
24136	Tilo SCHULZ,	1
24137	Nagy Diána,	2
24138	Countess Marguerit de Limburg-Stirum,	2
24139	PAÁL Gergely,	2
24140	KRAUSZ Dániel Csaba,	2
24141	BARABÁS Henriette,	2
24142	Révesz Anna,	2
24143	Inge Dick,	2
24144	Szigeti G Csongor,	6
24145	a Debreceni Egyetem Műszaki Karának dékánja,	2
24146	Horváth Zoltán,	5
24147	Fotogalerie Wien,	2
24148	Kertész László,	10
24149	Konkoly Ágnes	7
24150	Iványi Bianca	4
24151	és még sokan mások	8
24152	Götz János,	2
24153	Václav Jíru,	1
24154	projektgruppe Hamburg,	1
24155	Konstantin Kleffel építész	2
24156	Grabanc,	2
24157	Sinkovits Péter művészettörténész,	2
24158	ALBAN HAJDINAJ,	1
24159	Dorotea Fotivec,	6
24160	Poór Dorottya,	6
24161	Nyilvános osztálytalálkozó	2
24162	MUCIUS,	2
24163	Christopher Long,	2
24164	Az Igazgyöny Alapítvány tanítványainak kiállítása,	2
24165	Prőhle Gergely,	6
24166	Le Quy Tong,	1
24167	Fred SANDBECK,	2
24168	Évi Taskovics,	1
24169	Nemzeti Művészetért Alapítvány,	2
24170	Timár Katalin PhD kurátor	2
24171	Ének: Spielberger Ági,	2
24172	Paul • TOOTH Gábor Andor / TGA • VASS Tibor • WROBEL Péter,	2
24173	a Szolnoki Művésztelep vezetője,	2
24174	Kishonty Zsolt,	2
24175	Gilbert and George,	2
24176	Torbágyi Péter,	1
24177	Pálinkás-Szűcs Róbert,	2
24178	Huszár Andrea Magdolna,	2
24179	Lena Bosch,	1
24180	Ocztos István	6
24181	Gabriela Albergaria,	2
24182	karafiáth orsolya	1
24183	az Osztrák Kulturális Fórum igazgatója	2
24184	Scaff,	2
24185	Brentjes / Gwiazda,	6
24186	Ellen Strittmatter,	1
24187	Camilla Englund,	10
24188	Egri Orsolya verset mond,	1
24189	Gordon Matta-Clark,	2
24190	Bencsik Ádám,	4
24191	Attaray Visual	2
24192	tárlatvezetés,	4
24193	Duliskovich,	2
24194	AES+F	5
24195	Paul Harrsion,	2
24196	Loránt Anna),	2
24197	NEMES Z. Márió – költő,	2
24198	Szolnoki Képzőművészeti Társaság,	8
24199	Jean-Marie és Huillet,	1
24200	Krusovszky Dénes költő,	4
24201	William Theodoracopulos,	2
24202	Delphine Pouillé,	2
24203	Rabóczky Judit Rita,	26
24204	Claude PASQUET,	2
24205	Közreműködik: Juhász Zoltán furulyaművész és a Szervátiusz dédunokák	1
24206	Szilágyi Róbert	2
24207	Schrammel Imre szobrászművész,	2
24208	SZIGETI CSONGOR	2
24209	Barbara Lippe,	2
24210	Kudron Anna,	1
24211	Adamko Dávid,	2
24212	Kozma Eszter	2
24213	CSUTI ZSÓFIA,	2
24214	Sz. Varga Ágnes Kabó,	4
24215	Hejettes Szomjazók,	2
