	step4	step5
340	A Néprajzi Múzeum utazó tanulmányi kiállítása	Néprajzi Múzeum
341	A Néprajzi Múzeum utazó tanulmányi kiállítása	Néprajzi Múzeum
342	A Open Arthéten  hallgatók	Open Arthéten
343	A Open Arthéten  hallgatók	Open Arthéten
344	A Pesti Bölcsész Akadémia kihelyezett előadása	Pesti Bölcsész Akadémia
345	A Pesti Bölcsész Akadémia kihelyezett előadása	Pesti Bölcsész Akadémia
346	A Pesti Bölcsész Akadémia kihelyezett előadása	Pesti Bölcsész Akadémia
347	A Pesti Bölcsész Akadémia kihelyezett előadása	Pesti Bölcsész Akadémia
348	A Quaartsiluni Ensemble estje	Quaartsiluni Ensemble
349	A Quaartsiluni Ensemble estje	Quaartsiluni Ensemble
350	A Reneszánsz  Év keretében	Reneszánsz Év
351	A Spirál Team	Spirál Team
352	A Spirál Team	Spirál Team
353	A Szolnoki Művésztelep Galériájában	Szolnoki Művésztelep Galériájában
354	A Schola Graphidis Művészeti Gyűjtemény  kiállítása	Schola Graphidis Művészeti Gyűjtemény
355	A Schola Graphidis Művészeti Gyűjtemény  kiállítása	Schola Graphidis Művészeti Gyűjtemény
356	A Soproni Egyetem Alkalmazott Művészeti Intézete végzősei	Soproni Egyetem Alkalmazott Művészeti Intézete végzősei
357	A Soproni Egyetem Alkalmazott Művészeti Intézetének kiállítása	Soproni Egyetem Alkalmazott Művészeti Intézetének
358	A Soproni Egyetem Alkalmazott Művészeti Intézetének kiállítása	Soproni Egyetem Alkalmazott Művészeti Intézetének
359	A Svájci Államszövetség Magyarországi Nagykövetsége	Svájci Államszövetség Magyarországi Nagykövetsége
360	a Pro Helvetia Svájci Kulturális Alapítvány kiállítása	Pro Helvetia Svájci Kulturális Alapítvány
361	A Svájci Államszövetség Magyarországi Nagykövetsége	Svájci Államszövetség Magyarországi Nagykövetsége
362	a Pro Helvetia Svájci Kulturális Alapítvány kiállítása	Pro Helvetia Svájci Kulturális Alapítvány
363	A Szimpóziumról	DELETED
364	a művekről a ek beszélnek	DELETED
365	A Szimpóziumról	DELETED
366	a művekről a ek beszélnek	DELETED
367	A Széchenyi István Egyetem Épülettervezési Tanszékének kiállítása	Széchenyi István Egyetem Épülettervezési Tanszékének
368	A Széchenyi István Egyetem Épülettervezési Tanszékének kiállítása	Széchenyi István Egyetem Épülettervezési Tanszékének
369	A Széchényi Művésztelep Alapítvány éves kiállítása	Széchényi Művésztelep Alapítvány
370	A Széchényi Művésztelep kiállítása	Széchényi Művésztelep
371	A Széchényi Művésztelep kiállítása	Széchényi Művésztelep
372	A Székesfehérvári Művészek Társasága	Székesfehérvári Művészek Társasága
373	A Székesfehérvári Művészek Társasága	Székesfehérvári Művészek Társasága
374	A Székesfehérvári Művészek Társaságának tagjai	Székesfehérvári Művészek Társaságának
375	A Székesfehérvári Művészek Társaságának tagjai	Székesfehérvári Művészek Társaságának
376	A Tallinni Fotóhónap kiállítása	Tallinni Fotóhónap
377	A Tallinni Fotóhónap kiállítása	Tallinni Fotóhónap
378	A Trafik Kör Kortárs Művészeti Egyesület bemutatkozó kiállítása	Trafik Kör Kortárs Művészeti Egyesület
379	A Trafik Kör Kortárs Művészeti Egyesület bemutatkozó kiállítása	Trafik Kör Kortárs Művészeti Egyesület
380	A Typomania kiállítás kísérőrendezvénye	Typomania kísérőrendezvénye
381	A Typomania kiállítás kísérőrendezvénye	Typomania kísérőrendezvénye
382	A University of the Arts London Ccw Graduális Iskolája	University Arts London Ccw Graduális Iskolája
383	A University of the Arts London Ccw Graduális Iskolája	University Arts London Ccw Graduális Iskolája
384	A Várbazár szobrászai	Várbazár szobrászai
385	A Várbazár szobrászai	Várbazár szobrászai
386	A Város Mindenkié csoport hajléktalan aktivistái	Város Mindenkié
387	A Város Mindenkié csoport hajléktalan aktivistái	Város Mindenkié
388	A beszelgetes vendegeiPataky Gabriella	beszelgetes vendegeiPataky Gabriella
389	A beszelgetes vendegeiPataky Gabriella	beszelgetes vendegeiPataky Gabriella
390	A beszélgetés i  Benkő Imre	Benkő Imre
391	A beszélgetés i Dánél Móna   Feischmidt Margit	Dánél Móna Feischmidt Margit
392	A beszélgetés i Dánél Móna   Feischmidt Margit	Dánél Móna Feischmidt Margit
393	A beszélgetés i European Roma Cultural Foundation	European Roma Cultural Foundation
394	A beszélgetés i European Roma Cultural Foundation	European Roma Cultural Foundation
395	A beszélgetést Babarczy Eszter vezeti	Babarczy Eszter
396	A beszélgetést Babarczy Eszter vezeti	Babarczy Eszter
397	A beszélgetést vezeti Varga László történész	Varga László
398	A beszélgetést vezeti Varga László történész	Varga László
399	A betiltott Mozgó Világ	Mozgó Világ
400	A betiltott Mozgó Világ	Mozgó Világ
401	A budapesti Brazil Nagykövetség kiállítása	Brazil Nagykövetség
402	A budapesti Brazil Nagykövetség kiállítása	Brazil Nagykövetség
403	A bódvalenkei gyermektábor i	bódvalenkei gyermektábor
404	A bódvalenkei gyermektábor i	bódvalenkei gyermektábor
405	A debreceni Modern TáncJáték Stúdió Alapítvány előadása	Modern TáncJáték Stúdió Alapítvány
406	A díjnyertes alkotások kiállítása	DELETED
407	A filmeket válogatta	DELETED
408	ismerteti Sőrés Zsolt	Sőrés Zsolt
409	A filmeket válogatta	DELETED
410	ismerteti Sőrés Zsolt	Sőrés Zsolt
411	A finn et	DELETED
412	A finn et	DELETED
413	A fényképezés a humorban	DELETED
414	A fényképezés a humorban	DELETED
415	A galéria múvészei	DELETED
416	barátai	DELETED
417	A galériaei	DELETED
418	A galériaei	DELETED
419	A hangszereket  megszólalataja  Gyulai  Csaba	megszólalataja Gyulai Csaba
420	Mizsei  Zoltán	Mizsei Zoltán
421	A hangszereket  megszólalataja  Gyulai  Csaba	megszólalataja Gyulai Csaba
422	Mizsei  Zoltán	Mizsei Zoltán
423	A helyes út	DELETED
424	A hágai Virtuális Cipő Múzeum kiállítása	Virtuális Cipő Múzeum
425	A hívó	DELETED
426	A jászberényi Art Campeinek egyestés kiállítása	Art Campeinek egyestés
