	step6	version 6 - top sim	version 6 - cnt
525	szaniszlo anna	61	2
526	katarina zdjelar	62	6
527	margit zsofia	71	6
528	fekete geza	76	4
529	orszag laszlo	74	24
530	kozlov sandor	64	8
531	magyar plakat tarsasag	71	2
532	laurian popa	48	2
533	chiharu shiota	52	10
534	szeleczki rozalia	53	3
535	sandor emese	73	2
536	takats peter	75	2
537	troznai attila	71	2
538	marta istvan	83	2
539	gero andras	72	2
540	varga sandor	64	2
541	szpaszov zsolt	59	2
542	philip barker	54	2
543	szabo tamas munkacsydijas	53	2
544	kicsiny balazs	55	78
545	pankasz gabor	72	2
546	toth kina kinga	62	2
547	miklos arpad	77	7
548	urban tibor flasko attila	62	1
549	katrine kildal	71	2
550	bartus ferenc	67	34
551	dobos dorka	67	2
552	lorinc katalin	61	7
553	vegi peter	64	5
554	hendrikjan hunneman	48	1
555	hollo manuella	62	2
556	koroknai zsolt krnacs agota lang eszter levay jeno gacsi eva lieber erzsebet lonovics laszlo lux antal magen istvan mengyan andras nemeth geza	34	2
557	kaspars lielgavis	59	2
558	lukasz stoklosa	55	4
559	sztojanovits andrea	62	23
560	danko bernadett	80	8
561	kantor agnes	62	6
562	kadar bela	70	5
563	nagy marton	67	2
564	sissel marie tonn	56	2
565	antal regina	62	2
566	leonard qylafi	54	2
567	ziggurat project	48	3
568	bernath daniel	56	15
569	vass tibor jozsef attiladijas	59	2
570	molnar oliver	61	1
571	karafiath balazs laszlo memkutato	56	2
572	sandra sterle	64	3
573	magyar vizfestok tarsasaga	71	2
574	jan vojtek	67	2
575	birkas monika	77	2
576	gerd logemann	50	2
577	jancsikity jozsef	62	4
578	alfred lenz	50	4
579	bondibokor bernadett	74	2
580	schiffer janos fopolgarmesterhelyettes	43	2
581	csoka edina	78	1
582	balazs mihaly dla	60	2
583	kispal agnesevelin	56	2
584	kisskuntler arpad	62	1
585	varady ro	67	5
586	emese kazar	64	1
587	faa balazs geometriai	61	1
588	koleszar adel	59	18
589	feicht zoltan	64	2
590	molly shea	55	2
591	fust milan	56	2
592	gyongyosi tamas	71	2
593	lidija skenderovic	52	2
594	lida mikhailova	58	1
595	fenyvesi aron kukorelly endre	49	2
596	szekeres gabor	80	2
597	boga clementina	55	2
598	eva labotkin johannes paul raether	44	2
599	oliver laric	59	4
600	krnacs agota	62	26
601	vilo slaminka	54	2
602	valogatas met archivumabol	64	2
603	muveszvideok indiabol	50	2
604	kepes gabor	80	2
605	sipos endreetfilzofus	48	2
606	annamarie turk	58	2
607	kranyik attila	71	2
608	sos jozsef	82	12
609	vajdai vilmos	52	2
610	borbas marton	67	8
611	sipos marica	58	6
612	sarkadi peter	74	13
613	ciszer zsuzsi	67	2
614	fehervari tamaseti	55	2
615	vadim fi1kin	50	1
616	sumegi gyorgy	56	5
617	andrej jemec	67	2
618	hajdu agnes linett	57	2
619	szakadat maja	61	2
620	boros tamas	76	3
621	kolonics kitti	57	2
622	gwen jones	55	4
623	szarka zoltan	67	1
624	torok adam fuvolista	53	1
625	denes agnes dora	59	25
626	huber kinga	55	10
627	valogatas vadnai galeriaval	64	2
628	family day sky	52	2
629	karvalics viktoria	58	2
630	klein rudolf	59	6
